id,num,name,img,type,height,weight,candy,candy_count,egg,spawn_chance,avg_spawns,spawn_time,multipliers,weaknesses,next_evolution
11,011,Metapod,http://www.serebii.net/pokemongo/pokemon/011.png,['Bug'],0.71 m,9.9 kg,Caterpie Candy,50,Not in Eggs,0.187,18.7,02:11,"[3.55, 3.79]","['Fire', 'Flying', 'Rock']","[{'num': '012', 'name': 'Butterfree'}]"
12,012,Butterfree,http://www.serebii.net/pokemongo/pokemon/012.png,"['Bug', 'Flying']",1.09 m,32.0 kg,Caterpie Candy,,Not in Eggs,0.022,2.2,05:23,,"['Fire', 'Electric', 'Ice', 'Flying', 'Rock']",
13,013,Weedle,http://www.serebii.net/pokemongo/pokemon/013.png,"['Bug', 'Poison']",0.30 m,3.2 kg,Weedle Candy,12,2 km,7.12,712,02:21,"[1.01, 1.09]","['Fire', 'Flying', 'Psychic', 'Rock']","[{'num': '014', 'name': 'Kakuna'}, {'num': '015', 'name': 'Beedrill'}]"
14,014,Kakuna,http://www.serebii.net/pokemongo/pokemon/014.png,"['Bug', 'Poison']",0.61 m,10.0 kg,Weedle Candy,50,Not in Eggs,0.44,44,02:30,"[3.01, 3.41]","['Fire', 'Flying', 'Psychic', 'Rock']","[{'num': '015', 'name': 'Beedrill'}]"
15,015,Beedrill,http://www.serebii.net/pokemongo/pokemon/015.png,"['Bug', 'Poison']",0.99 m,29.5 kg,Weedle Candy,,Not in Eggs,0.051,5.1,04:50,,"['Fire', 'Flying', 'Psychic', 'Rock']",
16,016,Pidgey,http://www.serebii.net/pokemongo/pokemon/016.png,"['Normal', 'Flying']",0.30 m,1.8 kg,Pidgey Candy,12,2 km,15.98,1.598,01:34,"[1.71, 1.92]","['Electric', 'Rock']","[{'num': '017', 'name': 'Pidgeotto'}, {'num': '018', 'name': 'Pidgeot'}]"
17,017,Pidgeotto,http://www.serebii.net/pokemongo/pokemon/017.png,"['Normal', 'Flying']",1.09 m,30.0 kg,Pidgey Candy,50,Not in Eggs,1.02,102,01:30,[1.79],"['Electric', 'Rock']","[{'num': '018', 'name': 'Pidgeot'}]"
18,018,Pidgeot,http://www.serebii.net/pokemongo/pokemon/018.png,"['Normal', 'Flying']",1.50 m,39.5 kg,Pidgey Candy,,Not in Eggs,0.13,13,01:50,,"['Electric', 'Rock']",
19,019,Rattata,http://www.serebii.net/pokemongo/pokemon/019.png,['Normal'],0.30 m,3.5 kg,Rattata Candy,25,2 km,13.05,1.305,01:55,"[2.55, 2.73]",['Fighting'],"[{'num': '020', 'name': 'Raticate'}]"
20,020,Raticate,http://www.serebii.net/pokemongo/pokemon/020.png,['Normal'],0.71 m,18.5 kg,Rattata Candy,,Not in Eggs,0.41,41,01:56,,['Fighting'],
21,021,Spearow,http://www.serebii.net/pokemongo/pokemon/021.png,"['Normal', 'Flying']",0.30 m,2.0 kg,Spearow Candy,50,2 km,4.73,473,12:25,"[2.66, 2.68]","['Electric', 'Rock']","[{'num': '022', 'name': 'Fearow'}]"
22,022,Fearow,http://www.serebii.net/pokemongo/pokemon/022.png,"['Normal', 'Flying']",1.19 m,38.0 kg,Spearow Candy,,Not in Eggs,0.15,15,01:11,,"['Electric', 'Rock']",
23,023,Ekans,http://www.serebii.net/pokemongo/pokemon/023.png,['Poison'],2.01 m,6.9 kg,Ekans Candy,50,5 km,2.27,227,12:20,"[2.21, 2.27]","['Ground', 'Psychic']","[{'num': '024', 'name': 'Arbok'}]"
24,024,Arbok,http://www.serebii.net/pokemongo/pokemon/024.png,['Poison'],3.51 m,65.0 kg,Ekans Candy,,Not in Eggs,0.072,7.2,01:50,,"['Ground', 'Psychic']",
25,025,Pikachu,http://www.serebii.net/pokemongo/pokemon/025.png,['Electric'],0.41 m,6.0 kg,Pikachu Candy,50,2 km,0.21,21,04:00,[2.34],['Ground'],"[{'num': '026', 'name': 'Raichu'}]"
26,026,Raichu,http://www.serebii.net/pokemongo/pokemon/026.png,['Electric'],0.79 m,30.0 kg,Pikachu Candy,,Not in Eggs,0.0076,0.76,23:58,,['Ground'],
27,027,Sandshrew,http://www.serebii.net/pokemongo/pokemon/027.png,['Ground'],0.61 m,12.0 kg,Sandshrew Candy,50,5 km,1.11,111,01:58,[2.45],"['Water', 'Grass', 'Ice']","[{'num': '028', 'name': 'Sandslash'}]"
28,028,Sandslash,http://www.serebii.net/pokemongo/pokemon/028.png,['Ground'],0.99 m,29.5 kg,Sandshrew Candy,,Not in Eggs,0.037,3.7,12:34,,"['Water', 'Grass', 'Ice']",
29,029,Nidoran ♀ (Female),http://www.serebii.net/pokemongo/pokemon/029.png,['Poison'],0.41 m,7.0 kg,Nidoran ♀ (Female) Candy,25,5 km,1.38,138,01:51,"[1.63, 2.48]","['Ground', 'Psychic']","[{'num': '030', 'name': 'Nidorina'}, {'num': '031', 'name': 'Nidoqueen'}]"
30,030,Nidorina,http://www.serebii.net/pokemongo/pokemon/030.png,['Poison'],0.79 m,20.0 kg,Nidoran ♀ (Female) Candy,100,Not in Eggs,0.088,8.8,07:22,"[1.83, 2.48]","['Ground', 'Psychic']","[{'num': '031', 'name': 'Nidoqueen'}]"
31,031,Nidoqueen,http://www.serebii.net/pokemongo/pokemon/031.png,"['Poison', 'Ground']",1.30 m,60.0 kg,Nidoran ♀ (Female) Candy,,Not in Eggs,0.012,1.2,12:35,,"['Water', 'Ice', 'Ground', 'Psychic']",
32,032,Nidoran ♂ (Male),http://www.serebii.net/pokemongo/pokemon/032.png,['Poison'],0.51 m,9.0 kg,Nidoran ♂ (Male) Candy,25,5 km,1.31,131,01:12,"[1.64, 1.7]","['Ground', 'Psychic']","[{'num': '033', 'name': 'Nidorino'}, {'num': '034', 'name': 'Nidoking'}]"
33,033,Nidorino,http://www.serebii.net/pokemongo/pokemon/033.png,['Poison'],0.89 m,19.5 kg,Nidoran ♂ (Male) Candy,100,Not in Eggs,0.083,8.3,09:02,[1.83],"['Ground', 'Psychic']","[{'num': '034', 'name': 'Nidoking'}]"
34,034,Nidoking,http://www.serebii.net/pokemongo/pokemon/034.png,"['Poison', 'Ground']",1.40 m,62.0 kg,Nidoran ♂ (Male) Candy,,Not in Eggs,0.017,1.7,12:16,,"['Water', 'Ice', 'Ground', 'Psychic']",
35,035,Clefairy,http://www.serebii.net/pokemongo/pokemon/035.png,['Normal'],0.61 m,7.5 kg,Clefairy Candy,50,2 km,0.92,92,03:30,"[2.03, 2.14]",['Fighting'],"[{'num': '036', 'name': 'Clefable'}]"
36,036,Clefable,http://www.serebii.net/pokemongo/pokemon/036.png,['Normal'],1.30 m,40.0 kg,Clefairy Candy,,Not in Eggs,0.012,1.2,03:29,,['Fighting'],
37,037,Vulpix,http://www.serebii.net/pokemongo/pokemon/037.png,['Fire'],0.61 m,9.9 kg,Vulpix Candy,50,5 km,0.22,22,13:43,"[2.74, 2.81]","['Water', 'Ground', 'Rock']","[{'num': '038', 'name': 'Ninetales'}]"
38,038,Ninetales,http://www.serebii.net/pokemongo/pokemon/038.png,['Fire'],1.09 m,19.9 kg,Vulpix Candy,,Not in Eggs,0.0077,0.77,01:32,,"['Water', 'Ground', 'Rock']",
39,039,Jigglypuff,http://www.serebii.net/pokemongo/pokemon/039.png,['Normal'],0.51 m,5.5 kg,Jigglypuff Candy,50,2 km,0.39,39,08:46,[1.85],['Fighting'],"[{'num': '040', 'name': 'Wigglytuff'}]"
40,040,Wigglytuff,http://www.serebii.net/pokemongo/pokemon/040.png,['Normal'],0.99 m,12.0 kg,Jigglypuff Candy,,Not in Eggs,0.018,1.8,12:28,,['Fighting'],
41,041,Zubat,http://www.serebii.net/pokemongo/pokemon/041.png,"['Poison', 'Flying']",0.79 m,7.5 kg,Zubat Candy,50,2 km,6.52,652,12:28,"[2.6, 3.67]","['Electric', 'Ice', 'Psychic', 'Rock']","[{'num': '042', 'name': 'Golbat'}]"
42,042,Golbat,http://www.serebii.net/pokemongo/pokemon/042.png,"['Poison', 'Flying']",1.60 m,55.0 kg,Zubat Candy,,Not in Eggs,0.42,42,02:15,,"['Electric', 'Ice', 'Psychic', 'Rock']",
43,043,Oddish,http://www.serebii.net/pokemongo/pokemon/043.png,"['Grass', 'Poison']",0.51 m,5.4 kg,Oddish Candy,25,5 km,1.02,102,03:58,[1.5],"['Fire', 'Ice', 'Flying', 'Psychic']","[{'num': '044', 'name': 'Gloom'}, {'num': '045', 'name': 'Vileplume'}]"
44,044,Gloom,http://www.serebii.net/pokemongo/pokemon/044.png,"['Grass', 'Poison']",0.79 m,8.6 kg,Oddish Candy,100,Not in Eggs,0.064,6.4,11:33,[1.49],"['Fire', 'Ice', 'Flying', 'Psychic']","[{'num': '045', 'name': 'Vileplume'}]"
45,045,Vileplume,http://www.serebii.net/pokemongo/pokemon/045.png,"['Grass', 'Poison']",1.19 m,18.6 kg,Oddish Candy,,Not in Eggs,0.0097,0.97,23:58,,"['Fire', 'Ice', 'Flying', 'Psychic']",
46,046,Paras,http://www.serebii.net/pokemongo/pokemon/046.png,"['Bug', 'Grass']",0.30 m,5.4 kg,Paras Candy,50,5 km,2.36,236,01:42,[2.02],"['Fire', 'Ice', 'Poison', 'Flying', 'Bug', 'Rock']","[{'num': '047', 'name': 'Parasect'}]"
47,047,Parasect,http://www.serebii.net/pokemongo/pokemon/047.png,"['Bug', 'Grass']",0.99 m,29.5 kg,Paras Candy,,Not in Eggs,0.074,7.4,01:22,,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug', 'Rock']",
48,048,Venonat,http://www.serebii.net/pokemongo/pokemon/048.png,"['Bug', 'Poison']",0.99 m,30.0 kg,Venonat Candy,50,5 km,2.28,228,02:31,"[1.86, 1.9]","['Fire', 'Flying', 'Psychic', 'Rock']","[{'num': '049', 'name': 'Venomoth'}]"
49,049,Venomoth,http://www.serebii.net/pokemongo/pokemon/049.png,"['Bug', 'Poison']",1.50 m,12.5 kg,Venonat Candy,,Not in Eggs,0.072,7.2,23:40,,"['Fire', 'Flying', 'Psychic', 'Rock']",
50,050,Diglett,http://www.serebii.net/pokemongo/pokemon/050.png,['Ground'],0.20 m,0.8 kg,Diglett Candy,50,5 km,0.4,40,02:22,[2.69],"['Water', 'Grass', 'Ice']","[{'num': '051', 'name': 'Dugtrio'}]"
51,051,Dugtrio,http://www.serebii.net/pokemongo/pokemon/051.png,['Ground'],0.71 m,33.3 kg,Dugtrio,,Not in Eggs,0.014,1.4,12:37,,"['Water', 'Grass', 'Ice']",
52,052,Meowth,http://www.serebii.net/pokemongo/pokemon/052.png,['Normal'],0.41 m,4.2 kg,Meowth Candy,50,5 km,0.86,86,02:54,[1.98],['Fighting'],"[{'num': '053', 'name': 'Persian'}]"
53,053,Persian,http://www.serebii.net/pokemongo/pokemon/053.png,['Normal'],0.99 m,32.0 kg,Meowth Candy,,Not in Eggs,0.022,2.2,02:44,,['Fighting'],
54,054,Psyduck,http://www.serebii.net/pokemongo/pokemon/054.png,['Water'],0.79 m,19.6 kg,Psyduck Candy,50,5 km,2.54,254,03:41,[2.27],"['Electric', 'Grass']","[{'num': '055', 'name': 'Golduck'}]"
55,055,Golduck,http://www.serebii.net/pokemongo/pokemon/055.png,['Water'],1.70 m,76.6 kg,Psyduck Candy,,Not in Eggs,0.087,8.7,23:06,,"['Electric', 'Grass']",
56,056,Mankey,http://www.serebii.net/pokemongo/pokemon/056.png,['Fighting'],0.51 m,28.0 kg,Mankey Candy,50,5 km,0.92,92,12:52,"[2.17, 2.28]","['Flying', 'Psychic', 'Fairy']","[{'num': '057', 'name': 'Primeape'}]"
57,057,Primeape,http://www.serebii.net/pokemongo/pokemon/057.png,['Fighting'],0.99 m,32.0 kg,Mankey Candy,,Not in Eggs,0.031,3.1,12:33,,"['Flying', 'Psychic', 'Fairy']",
58,058,Growlithe,http://www.serebii.net/pokemongo/pokemon/058.png,['Fire'],0.71 m,19.0 kg,Growlithe Candy,50,5 km,0.92,92,03:57,"[2.31, 2.36]","['Water', 'Ground', 'Rock']","[{'num': '059', 'name': 'Arcanine'}]"
59,059,Arcanine,http://www.serebii.net/pokemongo/pokemon/059.png,['Fire'],1.91 m,155.0 kg,Growlithe Candy,,Not in Eggs,0.017,1.7,03:11,,"['Water', 'Ground', 'Rock']",
60,060,Poliwag,http://www.serebii.net/pokemongo/pokemon/060.png,['Water'],0.61 m,12.4 kg,Poliwag Candy,25,5 km,2.19,219,03:40,"[1.72, 1.73]","['Electric', 'Grass']","[{'num': '061', 'name': 'Poliwhirl'}, {'num': '062', 'name': 'Poliwrath'}]"
61,061,Poliwhirl,http://www.serebii.net/pokemongo/pokemon/061.png,['Water'],0.99 m,20.0 kg,Poliwag Candy,100,Not in Eggs,0.13,13,09:14,[1.95],"['Electric', 'Grass']","[{'num': '062', 'name': 'Poliwrath'}]"
62,062,Poliwrath,http://www.serebii.net/pokemongo/pokemon/062.png,"['Water', 'Fighting']",1.30 m,54.0 kg,Poliwag Candy,,Not in Eggs,0.011,1.1,01:32,,"['Electric', 'Grass', 'Flying', 'Psychic', 'Fairy']",
63,063,Abra,http://www.serebii.net/pokemongo/pokemon/063.png,['Psychic'],0.89 m,19.5 kg,Abra Candy,25,5 km,0.42,42,04:30,"[1.36, 1.95]","['Bug', 'Ghost', 'Dark']","[{'num': '064', 'name': 'Kadabra'}, {'num': '065', 'name': 'Alakazam'}]"
64,064,Kadabra,http://www.serebii.net/pokemongo/pokemon/064.png,['Psychic'],1.30 m,56.5 kg,Abra Candy,100,Not in Eggs,0.027,2.7,11:25,[1.4],"['Bug', 'Ghost', 'Dark']","[{'num': '065', 'name': 'Alakazam'}]"
65,065,Alakazam,http://www.serebii.net/pokemongo/pokemon/065.png,['Psychic'],1.50 m,48.0 kg,Abra Candy,,Not in Eggs,0.0073,0.73,12:33,,"['Bug', 'Ghost', 'Dark']",
66,066,Machop,http://www.serebii.net/pokemongo/pokemon/066.png,['Fighting'],0.79 m,19.5 kg,Machop Candy,25,5 km,0.49,49,01:55,"[1.64, 1.65]","['Flying', 'Psychic', 'Fairy']","[{'num': '067', 'name': 'Machoke'}, {'num': '068', 'name': 'Machamp'}]"
67,067,Machoke,http://www.serebii.net/pokemongo/pokemon/067.png,['Fighting'],1.50 m,70.5 kg,Machop Candy,100,Not in Eggs,0.034,3.4,10:32,[1.7],"['Flying', 'Psychic', 'Fairy']","[{'num': '068', 'name': 'Machamp'}]"
68,068,Machamp,http://www.serebii.net/pokemongo/pokemon/068.png,['Fighting'],1.60 m,130.0 kg,Machop Candy,,Not in Eggs,0.0068,0.68,02:55,,"['Flying', 'Psychic', 'Fairy']",
69,069,Bellsprout,http://www.serebii.net/pokemongo/pokemon/069.png,"['Grass', 'Poison']",0.71 m,4.0 kg,Bellsprout Candy,25,5 km,1.15,115,04:10,[1.57],"['Fire', 'Ice', 'Flying', 'Psychic']","[{'num': '070', 'name': 'Weepinbell'}, {'num': '071', 'name': 'Victreebel'}]"
70,070,Weepinbell,http://www.serebii.net/pokemongo/pokemon/070.png,"['Grass', 'Poison']",0.99 m,6.4 kg,Bellsprout Candy,100,Not in Eggs,0.072,7.2,09:45,[1.59],"['Fire', 'Ice', 'Flying', 'Psychic']","[{'num': '071', 'name': 'Victreebel'}]"
71,071,Victreebel,http://www.serebii.net/pokemongo/pokemon/071.png,"['Grass', 'Poison']",1.70 m,15.5 kg,Bellsprout Candy,,Not in Eggs,0.0059,0.59,12:19,,"['Fire', 'Ice', 'Flying', 'Psychic']",
72,072,Tentacool,http://www.serebii.net/pokemongo/pokemon/072.png,"['Water', 'Poison']",0.89 m,45.5 kg,Tentacool Candy,50,5 km,0.81,81,03:20,[2.52],"['Electric', 'Ground', 'Psychic']","[{'num': '073', 'name': 'Tentacruel'}]"
73,073,Tentacruel,http://www.serebii.net/pokemongo/pokemon/073.png,"['Water', 'Poison']",1.60 m,55.0 kg,Tentacool Candy,,Not in Eggs,0.082,8.2,23:36,,"['Electric', 'Ground', 'Psychic']",
74,074,Geodude,http://www.serebii.net/pokemongo/pokemon/074.png,"['Rock', 'Ground']",0.41 m,20.0 kg,Geodude Candy,25,2 km,1.19,119,12:40,"[1.75, 1.76]","['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']","[{'num': '075', 'name': 'Graveler'}, {'num': '076', 'name': 'Golem'}]"
75,075,Graveler,http://www.serebii.net/pokemongo/pokemon/075.png,"['Rock', 'Ground']",0.99 m,105.0 kg,Geodude Candy,100,Not in Eggs,0.071,7.1,04:53,"[1.64, 1.72]","['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']","[{'num': '076', 'name': 'Golem'}]"
76,076,Golem,http://www.serebii.net/pokemongo/pokemon/076.png,"['Rock', 'Ground']",1.40 m,300.0 kg,Geodude Candy,,Not in Eggs,0.0047,0.47,12:16,,"['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']",
77,077,Ponyta,http://www.serebii.net/pokemongo/pokemon/077.png,['Fire'],0.99 m,30.0 kg,Ponyta Candy,50,5 km,0.51,51,02:50,"[1.48, 1.5]","['Water', 'Ground', 'Rock']","[{'num': '078', 'name': 'Rapidash'}]"
78,078,Rapidash,http://www.serebii.net/pokemongo/pokemon/078.png,['Fire'],1.70 m,95.0 kg,Ponyta Candy,,Not in Eggs,0.011,1.1,04:00,,"['Water', 'Ground', 'Rock']",
79,079,Slowpoke,http://www.serebii.net/pokemongo/pokemon/079.png,"['Water', 'Psychic']",1.19 m,36.0 kg,Slowpoke Candy,50,5 km,1.05,105,07:12,[2.21],"['Electric', 'Grass', 'Bug', 'Ghost', 'Dark']","[{'num': '080', 'name': 'Slowbro'}]"
80,080,Slowbro,http://www.serebii.net/pokemongo/pokemon/080.png,"['Water', 'Psychic']",1.60 m,78.5 kg,Slowpoke Candy,,Not in Eggs,0.036,3.6,02:56,,"['Electric', 'Grass', 'Bug', 'Ghost', 'Dark']",
81,081,Magnemite,http://www.serebii.net/pokemongo/pokemon/081.png,['Electric'],0.30 m,6.0 kg,Magnemite Candy,50,5 km,0.71,71,04:04,"[2.16, 2.17]","['Fire', 'Water', 'Ground']","[{'num': '082', 'name': 'Magneton'}]"
82,082,Magneton,http://www.serebii.net/pokemongo/pokemon/082.png,['Electric'],0.99 m,60.0 kg,Magnemite Candy,,Not in Eggs,0.023,2.3,15:25,,"['Fire', 'Water', 'Ground']",
83,083,Farfetch'd,http://www.serebii.net/pokemongo/pokemon/083.png,"['Normal', 'Flying']",0.79 m,15.0 kg,None,,5 km,0.0212,2.12,01:09,,"['Electric', 'Rock']",
84,084,Doduo,http://www.serebii.net/pokemongo/pokemon/084.png,"['Normal', 'Flying']",1.40 m,39.2 kg,Doduo Candy,50,5 km,0.52,52,05:10,"[2.19, 2.24]","['Electric', 'Rock']","[{'num': '085', 'name': 'Dodrio'}]"
85,085,Dodrio,http://www.serebii.net/pokemongo/pokemon/085.png,"['Normal', 'Flying']",1.80 m,85.2 kg,Doduo Candy,,Not in Eggs,0.22,22,02:12,,"['Electric', 'Rock']",
86,086,Seel,http://www.serebii.net/pokemongo/pokemon/086.png,['Water'],1.09 m,90.0 kg,Seel Candy,50,5 km,0.28,28,06:46,"[1.04, 1.96]","['Electric', 'Grass']","[{'num': '087', 'name': 'Dewgong'}]"
87,087,Dewgong,http://www.serebii.net/pokemongo/pokemon/087.png,"['Water', 'Ice']",1.70 m,120.0 kg,Seel Candy,,Not in Eggs,0.013,1.3,06:04,,"['Electric', 'Grass', 'Fighting', 'Rock']",
88,088,Grimer,http://www.serebii.net/pokemongo/pokemon/088.png,['Poison'],0.89 m,30.0 kg,Grimer Candy,50,5 km,0.052,5.2,15:11,[2.44],"['Ground', 'Psychic']","[{'num': '089', 'name': 'Muk'}]"
89,089,Muk,http://www.serebii.net/pokemongo/pokemon/089.png,['Poison'],1.19 m,30.0 kg,Grimer Candy,,Not in Eggs,0.0031,0.31,01:28,,"['Ground', 'Psychic']",
90,090,Shellder,http://www.serebii.net/pokemongo/pokemon/090.png,['Water'],0.30 m,4.0 kg,Shellder Candy,50,5 km,0.52,52,07:39,[2.65],"['Electric', 'Grass']","[{'num': '091', 'name': 'Cloyster'}]"
91,091,Cloyster,http://www.serebii.net/pokemongo/pokemon/091.png,"['Water', 'Ice']",1.50 m,132.5 kg,Shellder Candy,,Not in Eggs,0.015,1.5,02:33,,"['Electric', 'Grass', 'Fighting', 'Rock']",
92,092,Gastly,http://www.serebii.net/pokemongo/pokemon/092.png,"['Ghost', 'Poison']",1.30 m,0.1 kg,Gastly Candy,25,5 km,0.79,79,04:21,[1.78],"['Ground', 'Psychic', 'Ghost', 'Dark']","[{'num': '093', 'name': 'Haunter'}, {'num': '094', 'name': 'Gengar'}]"
93,093,Haunter,http://www.serebii.net/pokemongo/pokemon/093.png,"['Ghost', 'Poison']",1.60 m,0.1 kg,Gastly Candy,100,Not in Eggs,0.052,5.2,00:10,"[1.56, 1.8]","['Ground', 'Psychic', 'Ghost', 'Dark']","[{'num': '094', 'name': 'Gengar'}]"
94,094,Gengar,http://www.serebii.net/pokemongo/pokemon/094.png,"['Ghost', 'Poison']",1.50 m,40.5 kg,Gastly Candy,,Not in Eggs,0.0067,0.67,03:55,,"['Ground', 'Psychic', 'Ghost', 'Dark']",
95,095,Onix,http://www.serebii.net/pokemongo/pokemon/095.png,"['Rock', 'Ground']",8.79 m,210.0 kg,None,,10 km,0.1,10,01:18,,"['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']",
96,096,Drowzee,http://www.serebii.net/pokemongo/pokemon/096.png,['Psychic'],0.99 m,32.4 kg,Drowzee Candy,50,5 km,3.21,321,01:51,"[2.08, 2.09]","['Bug', 'Ghost', 'Dark']","[{'num': '097', 'name': 'Hypno'}]"
97,097,Hypno,http://www.serebii.net/pokemongo/pokemon/097.png,['Psychic'],1.60 m,75.6 kg,Drowzee Candy,,Not in Eggs,0.1,10,02:17,,"['Bug', 'Ghost', 'Dark']",
98,098,Krabby,http://www.serebii.net/pokemongo/pokemon/098.png,['Water'],0.41 m,6.5 kg,Krabby Candy,50,5 km,2.12,212,03:33,"[2.36, 2.4]","['Electric', 'Grass']","[{'num': '099', 'name': 'Kingler'}]"
99,099,Kingler,http://www.serebii.net/pokemongo/pokemon/099.png,['Water'],1.30 m,60.0 kg,Krabby Candy,,Not in Eggs,0.062,6.2,03:44,,"['Electric', 'Grass']",
100,100,Voltorb,http://www.serebii.net/pokemongo/pokemon/100.png,['Electric'],0.51 m,10.4 kg,Voltorb Candy,50,5 km,0.65,65,04:36,"[2.01, 2.02]",['Ground'],"[{'num': '101', 'name': 'Electrode'}]"
101,101,Electrode,http://www.serebii.net/pokemongo/pokemon/101.png,['Electric'],1.19 m,66.6 kg,Voltorb Candy,,Not in Eggs,0.02,2,04:10,,['Ground'],
102,102,Exeggcute,http://www.serebii.net/pokemongo/pokemon/102.png,"['Grass', 'Psychic']",0.41 m,2.5 kg,Exeggcute Candy,50,5 km,0.78,78,09:09,"[2.7, 3.18]","['Fire', 'Ice', 'Poison', 'Flying', 'Bug', 'Ghost', 'Dark']","[{'num': '103', 'name': 'Exeggutor'}]"
103,103,Exeggutor,http://www.serebii.net/pokemongo/pokemon/103.png,"['Grass', 'Psychic']",2.01 m,120.0 kg,Exeggcute Candy,,Not in Eggs,0.014,1.4,12:34,,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug', 'Ghost', 'Dark']",
104,104,Cubone,http://www.serebii.net/pokemongo/pokemon/104.png,['Ground'],0.41 m,6.5 kg,Cubone Candy,50,5 km,0.61,61,01:51,[1.67],"['Water', 'Grass', 'Ice']","[{'num': '105', 'name': 'Marowak'}]"
105,105,Marowak,http://www.serebii.net/pokemongo/pokemon/105.png,['Ground'],0.99 m,45.0 kg,Cubone Candy,,Not in Eggs,0.02,2,03:59,,"['Water', 'Grass', 'Ice']",
106,106,Hitmonlee,http://www.serebii.net/pokemongo/pokemon/106.png,['Fighting'],1.50 m,49.8 kg,None,,10 km,0.02,2,03:59,,"['Flying', 'Psychic', 'Fairy']",
107,107,Hitmonchan,http://www.serebii.net/pokemongo/pokemon/107.png,['Fighting'],1.40 m,50.2 kg,None,,10 km,0.022,2.2,05:58,,"['Flying', 'Psychic', 'Fairy']",
108,108,Lickitung,http://www.serebii.net/pokemongo/pokemon/108.png,['Normal'],1.19 m,65.5 kg,None,,5 km,0.011,1.1,02:46,,['Fighting'],
109,109,Koffing,http://www.serebii.net/pokemongo/pokemon/109.png,['Poison'],0.61 m,1.0 kg,Koffing Candy,50,5 km,0.2,20,08:16,[1.11],"['Ground', 'Psychic']","[{'num': '110', 'name': 'Weezing'}]"
110,110,Weezing,http://www.serebii.net/pokemongo/pokemon/110.png,['Poison'],1.19 m,9.5 kg,Koffing Candy,,Not in Eggs,0.016,1.6,12:17,,"['Ground', 'Psychic']",
